14:09:03.681801 config: drop-rate=0.00, max-delay=0s, seed=1510340943680295600
19:48:40.353102 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:40.358107 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:40.364113 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:40.376124 [queue=0] packet #31, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:40.376124 [queue=0] packet #31, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:41.352470 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:41.355454 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:41.364463 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:41.376488 [queue=0] packet #32, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:41.376488 [queue=0] packet #32, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:42.356082 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:42.378082 [queue=0] packet #33, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:42.379083 [queue=0] packet #33, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:43.355345 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is dropped
19:48:43.378383 [queue=0] packet #34, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:43.378383 [queue=0] packet #34, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:44.356689 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:44.378722 [queue=0] packet #35, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:44.378722 [queue=0] packet #35, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:45.353659 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:45.359665 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:45.364670 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:45.379701 [queue=0] packet #36, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:45.379701 [queue=0] packet #36, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:46.352671 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:46.356674 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:46.364698 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:46.380709 [queue=0] packet #37, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:46.380709 [queue=0] packet #37, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:47.356696 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:47.381720 [queue=0] packet #38, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:47.381720 [queue=0] packet #38, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:48.356210 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:48.382223 [queue=0] packet #39, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:48.382223 [queue=0] packet #39, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:49.357068 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:49.384080 [queue=0] packet #40, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:50.354272 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:50.361279 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:50.367297 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:50.384313 [queue=0] packet #41, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:51.352993 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is dropped
19:48:51.356997 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:51.365005 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:51.385025 [queue=0] packet #42, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:51.385025 [queue=0] packet #42, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:51.386025 [queue=0] packet #41, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:51.386025 [queue=0] packet #40, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:51.386025 [queue=0] packet #41, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:51.387025 [queue=0] packet #40, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:51.387025 [queue=0] packet #41, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:51.388026 [queue=0] packet #40, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is dropped
19:48:51.388026 [queue=0] packet #40, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:52.357042 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:52.385058 [queue=0] packet #43, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:52.385058 [queue=0] packet #43, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:53.356922 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:53.385950 [queue=0] packet #44, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is dropped
19:48:54.357118 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:54.387144 [queue=0] packet #45, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:54.387144 [queue=0] packet #45, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:54.388136 [queue=0] packet #44, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:54.388136 [queue=0] packet #44, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:54.388136 [queue=0] packet #44, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:55.355181 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:55.362188 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:55.368193 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:55.387211 [queue=0] packet #46, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:55.387211 [queue=0] packet #46, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:56.353621 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:56.357637 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:56.365645 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:56.387653 [queue=0] packet #47, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:56.387653 [queue=0] packet #47, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:57.357654 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:57.387683 [queue=0] packet #48, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:57.387683 [queue=0] packet #48, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is dropped
19:48:58.357751 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:58.387792 [queue=0] packet #49, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:48:58.387792 [queue=0] packet #49, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:48:59.357797 [queue=0] packet #5, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:48:59.387826 [queue=0] packet #50, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
